# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 7.932590878139351040e+17 8.517780515816734720e+17 8.609561324119567871e-01
1.000000000000000000e+02 7.930984903968030720e+17 8.388469702053068800e+17 8.543958663940429688e-01
